,Date,Price,Fear/Greed Value ,Sentiment ( F/G)
459,2020-03-17,5261.1,8,Extreme Fear
458,2020-03-18,5361.4,11,Extreme Fear
457,2020-03-19,6172.0,12,Extreme Fear
456,2020-03-20,6205.3,9,Extreme Fear
455,2020-03-21,6186.2,9,Extreme Fear
454,2020-03-22,5822.1,11,Extreme Fear
453,2020-03-23,6468.9,10,Extreme Fear
452,2020-03-24,6744.6,12,Extreme Fear
451,2020-03-25,6678.9,13,Extreme Fear
450,2020-03-26,6725.1,14,Extreme Fear
449,2020-03-27,6373.4,12,Extreme Fear
448,2020-03-28,6233.7,8,Extreme Fear
447,2020-03-29,5890.4,12,Extreme Fear
446,2020-03-30,6391.0,10,Extreme Fear
445,2020-03-31,6412.5,12,Extreme Fear
444,2020-04-01,6638.5,12,Extreme Fear
443,2020-04-02,6800.5,14,Extreme Fear
442,2020-04-03,6735.9,14,Extreme Fear
441,2020-04-04,6857.4,12,Extreme Fear
440,2020-04-05,6772.7,12,Extreme Fear
439,2020-04-06,7332.3,12,Extreme Fear
438,2020-04-07,7185.2,20,Extreme Fear
437,2020-04-08,7361.2,21,Extreme Fear
436,2020-04-09,7289.0,22,Extreme Fear
435,2020-04-10,6863.1,15,Extreme Fear
434,2020-04-11,6867.8,15,Extreme Fear
433,2020-04-12,6917.6,10,Extreme Fear
432,2020-04-13,6841.3,11,Extreme Fear
431,2020-04-14,6850.9,15,Extreme Fear
430,2020-04-15,6629.1,18,Extreme Fear
429,2020-04-16,7085.6,13,Extreme Fear
428,2020-04-17,7035.8,15,Extreme Fear
427,2020-04-18,7230.8,18,Extreme Fear
426,2020-04-19,7122.9,16,Extreme Fear
425,2020-04-20,6833.5,15,Extreme Fear
424,2020-04-21,6842.5,17,Extreme Fear
423,2020-04-22,7112.9,19,Extreme Fear
422,2020-04-23,7488.5,19,Extreme Fear
421,2020-04-24,7503.8,20,Extreme Fear
420,2020-04-25,7540.4,24,Extreme Fear
419,2020-04-26,7678.9,21,Extreme Fear
418,2020-04-27,7766.0,28,Fear
417,2020-04-28,7746.9,26,Fear
416,2020-04-29,8770.9,26,Fear
415,2020-04-30,8629.0,44,Fear
414,2020-05-01,8821.6,40,Fear
413,2020-05-02,8966.3,40,Fear
412,2020-05-03,8885.5,45,Fear
411,2020-05-04,8874.7,44,Fear
410,2020-05-05,9001.0,40,Fear
409,2020-05-06,9151.4,42,Fear
408,2020-05-07,9979.8,49,Neutral
407,2020-05-08,9806.2,55,Greed
406,2020-05-09,9554.6,56,Greed
405,2020-05-10,8738.8,48,Neutral
404,2020-05-11,8579.8,40,Fear
403,2020-05-12,8813.8,39,Fear
402,2020-05-13,9298.7,41,Fear
401,2020-05-14,9778.4,40,Fear
400,2020-05-15,9318.0,44,Fear
399,2020-05-16,9379.5,41,Fear
398,2020-05-17,9677.7,40,Fear
397,2020-05-18,9730.7,50,Neutral
396,2020-05-19,9773.3,50,Neutral
395,2020-05-20,9512.3,52,Neutral
394,2020-05-21,9059.0,49,Neutral
393,2020-05-22,9169.7,42,Fear
392,2020-05-23,9177.0,40,Fear
391,2020-05-24,8728.2,43,Fear
390,2020-05-25,8898.2,41,Fear
389,2020-05-26,8842.5,39,Fear
388,2020-05-27,9199.1,39,Fear
387,2020-05-28,9572.2,41,Fear
386,2020-05-29,9424.8,48,Neutral
385,2020-05-30,9692.5,48,Neutral
384,2020-05-31,9454.8,51,Neutral
383,2020-06-01,10189.3,50,Neutral
382,2020-06-02,9527.6,56,Greed
381,2020-06-03,9667.2,48,Neutral
380,2020-06-04,9794.4,54,Neutral
379,2020-06-05,9631.2,53,Neutral
378,2020-06-06,9669.6,54,Neutral
377,2020-06-07,9742.6,54,Neutral
376,2020-06-08,9777.9,53,Neutral
375,2020-06-09,9768.8,52,Neutral
374,2020-06-10,9878.8,54,Neutral
373,2020-06-11,9283.2,52,Neutral
372,2020-06-12,9466.6,38,Fear
371,2020-06-13,9471.3,38,Fear
370,2020-06-14,9345.3,40,Fear
369,2020-06-15,9425.4,37,Fear
368,2020-06-16,9523.5,39,Fear
367,2020-06-17,9464.6,38,Fear
366,2020-06-18,9388.1,40,Fear
365,2020-06-19,9314.0,39,Fear
364,2020-06-20,9358.8,38,Fear
363,2020-06-21,9296.4,37,Fear
362,2020-06-22,9683.7,38,Fear
361,2020-06-23,9624.6,41,Fear
360,2020-06-24,9302.0,50,Neutral
359,2020-06-25,9247.5,43,Fear
358,2020-06-26,9160.0,40,Fear
357,2020-06-27,9008.3,43,Fear
356,2020-06-28,9124.0,40,Fear
355,2020-06-29,9185.4,41,Fear
354,2020-06-30,9135.4,44,Fear
353,2020-07-01,9229.9,42,Fear
352,2020-07-02,9085.1,42,Fear
351,2020-07-03,9067.1,41,Fear
350,2020-07-04,9134.4,40,Fear
349,2020-07-05,9081.0,38,Fear
348,2020-07-06,9339.0,40,Fear
347,2020-07-07,9256.0,43,Fear
346,2020-07-08,9429.9,44,Fear
345,2020-07-09,9235.7,44,Fear
344,2020-07-10,9285.1,41,Fear
343,2020-07-11,9233.3,44,Fear
342,2020-07-12,9300.8,41,Fear
341,2020-07-13,9243.6,43,Fear
340,2020-07-14,9253.4,43,Fear
339,2020-07-15,9198.7,44,Fear
338,2020-07-16,9135.3,43,Fear
337,2020-07-17,9155.8,41,Fear
336,2020-07-18,9170.2,44,Fear
335,2020-07-19,9208.0,41,Fear
334,2020-07-20,9162.4,44,Fear
333,2020-07-21,9387.3,44,Fear
332,2020-07-22,9513.7,50,Neutral
331,2020-07-23,9599.6,55,Greed
330,2020-07-24,9546.4,53,Neutral
329,2020-07-25,9704.1,55,Greed
328,2020-07-26,9932.5,55,Greed
327,2020-07-27,11022.8,58,Greed
326,2020-07-28,10908.5,76,Extreme Greed
325,2020-07-29,11105.9,71,Greed
324,2020-07-30,11096.2,76,Extreme Greed
323,2020-07-31,11333.4,75,Greed
322,2020-08-01,11803.1,75,Greed
321,2020-08-02,11066.8,80,Extreme Greed
320,2020-08-03,11224.4,75,Greed
319,2020-08-04,11184.7,72,Greed
318,2020-08-05,11735.1,75,Greed
317,2020-08-06,11757.1,79,Extreme Greed
316,2020-08-07,11592.0,77,Extreme Greed
315,2020-08-08,11764.3,77,Extreme Greed
314,2020-08-09,11681.2,79,Extreme Greed
313,2020-08-10,11889.2,78,Extreme Greed
312,2020-08-11,11390.4,84,Extreme Greed
311,2020-08-12,11557.2,75,Greed
310,2020-08-13,11770.9,75,Greed
309,2020-08-14,11750.8,78,Extreme Greed
308,2020-08-15,11845.3,79,Extreme Greed
307,2020-08-16,11899.0,82,Extreme Greed
306,2020-08-17,12282.6,83,Extreme Greed
305,2020-08-18,11947.6,82,Extreme Greed
304,2020-08-19,11750.2,80,Extreme Greed
303,2020-08-20,11856.9,75,Greed
302,2020-08-21,11529.2,81,Extreme Greed
301,2020-08-22,11661.3,78,Extreme Greed
300,2020-08-23,11641.6,76,Extreme Greed
299,2020-08-24,11753.5,78,Extreme Greed
298,2020-08-25,11324.8,75,Greed
297,2020-08-26,11462.3,76,Extreme Greed
296,2020-08-27,11327.4,75,Greed
295,2020-08-28,11527.4,74,Greed
294,2020-08-29,11468.1,79,Extreme Greed
293,2020-08-30,11702.0,75,Greed
292,2020-08-31,11644.2,75,Greed
291,2020-09-01,11914.9,75,Greed
290,2020-09-02,11413.3,83,Extreme Greed
289,2020-09-03,10168.8,79,Extreme Greed
288,2020-09-04,10472.5,40,Fear
287,2020-09-05,10092.2,41,Fear
286,2020-09-06,10296.4,41,Fear
285,2020-09-07,10376.9,41,Fear
284,2020-09-08,10126.6,41,Fear
283,2020-09-09,10224.6,38,Fear
282,2020-09-10,10339.7,38,Fear
281,2020-09-11,10390.2,41,Fear
280,2020-09-12,10441.9,41,Fear
279,2020-09-13,10326.0,38,Fear
278,2020-09-14,10675.3,39,Fear
277,2020-09-15,10785.3,47,Neutral
276,2020-09-16,10949.5,43,Fear
275,2020-09-17,10941.3,48,Neutral
274,2020-09-18,10933.0,49,Neutral
273,2020-09-19,11081.8,48,Neutral
272,2020-09-20,10921.5,52,Neutral
271,2020-09-21,10416.8,48,Neutral
270,2020-09-22,10531.5,39,Fear
269,2020-09-23,10237.3,43,Fear
268,2020-09-24,10739.4,39,Fear
267,2020-09-25,10688.8,46,Fear
266,2020-09-26,10727.9,45,Fear
265,2020-09-27,10776.2,47,Neutral
264,2020-09-28,10693.2,43,Fear
263,2020-09-29,10840.9,45,Fear
262,2020-09-30,10776.1,49,Neutral
261,2020-10-01,10620.5,45,Fear
260,2020-10-02,10572.3,41,Fear
259,2020-10-03,10544.2,40,Fear
258,2020-10-04,10672.9,42,Fear
257,2020-10-05,10789.5,42,Fear
256,2020-10-06,10602.6,47,Neutral
255,2020-10-07,10670.9,43,Fear
254,2020-10-08,10924.1,46,Fear
253,2020-10-09,11054.2,48,Neutral
252,2020-10-10,11298.4,53,Neutral
251,2020-10-11,11371.0,55,Greed
250,2020-10-12,11533.9,52,Neutral
249,2020-10-13,11423.8,56,Greed
248,2020-10-14,11420.4,53,Neutral
247,2020-10-15,11503.0,56,Greed
246,2020-10-16,11322.0,52,Neutral
245,2020-10-17,11362.1,56,Greed
244,2020-10-18,11506.9,55,Greed
243,2020-10-19,11753.4,55,Greed
242,2020-10-20,11913.5,56,Greed
241,2020-10-21,12808.7,61,Greed
240,2020-10-22,12974.6,73,Greed
239,2020-10-23,12934.1,74,Greed
238,2020-10-24,13117.2,73,Greed
237,2020-10-25,13032.2,76,Extreme Greed
236,2020-10-26,13061.6,75,Greed
235,2020-10-27,13657.8,61,Greed
234,2020-10-28,13278.9,70,Greed
233,2020-10-29,13457.2,67,Greed
232,2020-10-30,13559.9,74,Greed
231,2020-10-31,13797.3,73,Greed
230,2020-11-01,13759.4,72,Greed
229,2020-11-02,13561.4,71,Greed
228,2020-11-03,14019.9,71,Greed
227,2020-11-04,14145.6,74,Greed
226,2020-11-05,15587.1,72,Greed
225,2020-11-06,15577.9,90,Extreme Greed
224,2020-11-07,14828.4,88,Extreme Greed
223,2020-11-08,15483.7,82,Extreme Greed
222,2020-11-09,15327.2,90,Extreme Greed
221,2020-11-10,15303.6,90,Extreme Greed
220,2020-11-11,15695.8,86,Extreme Greed
219,2020-11-12,16294.7,87,Extreme Greed
218,2020-11-13,16324.2,89,Extreme Greed
217,2020-11-14,16071.0,90,Extreme Greed
216,2020-11-15,15953.0,86,Extreme Greed
215,2020-11-16,16715.8,90,Extreme Greed
214,2020-11-17,17662.3,86,Extreme Greed
213,2020-11-18,17774.6,91,Extreme Greed
212,2020-11-19,17803.5,94,Extreme Greed
211,2020-11-20,18675.2,86,Extreme Greed
210,2020-11-21,18687.2,91,Extreme Greed
209,2020-11-22,18412.9,94,Extreme Greed
208,2020-11-23,18379.6,90,Extreme Greed
207,2020-11-24,19152.6,88,Extreme Greed
206,2020-11-25,18723.0,94,Extreme Greed
205,2020-11-26,17162.0,93,Extreme Greed
204,2020-11-27,17127.1,86,Extreme Greed
203,2020-11-28,17730.7,87,Extreme Greed
202,2020-11-29,18185.5,89,Extreme Greed
201,2020-11-30,19698.1,88,Extreme Greed
200,2020-12-01,18770.7,95,Extreme Greed
199,2020-12-02,19218.8,92,Extreme Greed
198,2020-12-03,19433.3,92,Extreme Greed
197,2020-12-04,18658.1,92,Extreme Greed
196,2020-12-05,19146.5,93,Extreme Greed
195,2020-12-06,19379.9,95,Extreme Greed
194,2020-12-07,19170.7,94,Extreme Greed
193,2020-12-08,18326.6,95,Extreme Greed
192,2020-12-09,18546.0,86,Extreme Greed
191,2020-12-10,18247.2,94,Extreme Greed
190,2020-12-11,18023.6,89,Extreme Greed
189,2020-12-12,18808.9,90,Extreme Greed
188,2020-12-13,19176.8,91,Extreme Greed
187,2020-12-14,19273.8,95,Extreme Greed
186,2020-12-15,19434.9,91,Extreme Greed
185,2020-12-16,21352.2,92,Extreme Greed
184,2020-12-17,22825.4,92,Extreme Greed
183,2020-12-18,23127.9,95,Extreme Greed
182,2020-12-19,23844.0,93,Extreme Greed
181,2020-12-20,23474.9,92,Extreme Greed
180,2020-12-21,22728.5,92,Extreme Greed
179,2020-12-22,23823.2,88,Extreme Greed
178,2020-12-23,23257.9,93,Extreme Greed
177,2020-12-24,23736.5,86,Extreme Greed
176,2020-12-25,24689.6,94,Extreme Greed
175,2020-12-26,26454.4,93,Extreme Greed
174,2020-12-27,26261.3,91,Extreme Greed
173,2020-12-28,27057.8,92,Extreme Greed
172,2020-12-29,27376.0,91,Extreme Greed
171,2020-12-30,28868.7,91,Extreme Greed
170,2020-12-31,28949.4,95,Extreme Greed
169,2021-01-01,29359.9,94,Extreme Greed
168,2021-01-02,32193.3,94,Extreme Greed
167,2021-01-03,32958.9,93,Extreme Greed
166,2021-01-04,32022.6,94,Extreme Greed
165,2021-01-05,33991.5,93,Extreme Greed
164,2021-01-06,36793.2,95,Extreme Greed
163,2021-01-07,39460.2,91,Extreme Greed
162,2021-01-08,40599.3,93,Extreme Greed
161,2021-01-09,40151.9,93,Extreme Greed
160,2021-01-10,38192.2,94,Extreme Greed
159,2021-01-11,35544.3,90,Extreme Greed
158,2021-01-12,34076.1,84,Extreme Greed
157,2021-01-13,37382.2,78,Extreme Greed
156,2021-01-14,39175.7,83,Extreme Greed
155,2021-01-15,36845.8,88,Extreme Greed
154,2021-01-16,36019.5,84,Extreme Greed
153,2021-01-17,35839.6,79,Extreme Greed
152,2021-01-18,36613.2,79,Extreme Greed
151,2021-01-19,36002.9,80,Extreme Greed
150,2021-01-20,35476.3,78,Extreme Greed
149,2021-01-21,30842.1,75,Greed
148,2021-01-22,33000.5,40,Fear
147,2021-01-23,32088.9,74,Greed
146,2021-01-24,32241.3,70,Greed
145,2021-01-25,32252.3,74,Greed
144,2021-01-26,32502.1,71,Greed
143,2021-01-27,30404.0,78,Extreme Greed
142,2021-01-28,33374.8,55,Greed
141,2021-01-29,34301.8,77,Extreme Greed
140,2021-01-30,34283.1,76,Extreme Greed
139,2021-01-31,33108.1,78,Extreme Greed
138,2021-02-01,33515.7,77,Extreme Greed
137,2021-02-02,35485.2,76,Extreme Greed
136,2021-02-03,37646.8,78,Extreme Greed
135,2021-02-04,36982.1,80,Extreme Greed
134,2021-02-05,38297.6,81,Extreme Greed
133,2021-02-06,39256.6,84,Extreme Greed
132,2021-02-07,38852.9,86,Extreme Greed
131,2021-02-08,46395.7,83,Extreme Greed
130,2021-02-09,46508.6,95,Extreme Greed
129,2021-02-10,44836.0,92,Extreme Greed
128,2021-02-11,47990.7,93,Extreme Greed
127,2021-02-12,47371.7,92,Extreme Greed
126,2021-02-13,47168.7,92,Extreme Greed
125,2021-02-14,48643.4,95,Extreme Greed
124,2021-02-15,47936.3,93,Extreme Greed
123,2021-02-16,49169.7,95,Extreme Greed
122,2021-02-17,52079.2,95,Extreme Greed
121,2021-02-18,51582.2,91,Extreme Greed
120,2021-02-19,55906.6,93,Extreme Greed
119,2021-02-20,55923.7,91,Extreme Greed
118,2021-02-21,57433.8,91,Extreme Greed
117,2021-02-22,54111.8,94,Extreme Greed
116,2021-02-23,48911.2,94,Extreme Greed
115,2021-02-24,49697.5,76,Extreme Greed
114,2021-02-25,46928.5,79,Extreme Greed
113,2021-02-26,46345.6,55,Greed
112,2021-02-27,46136.7,56,Greed
111,2021-02-28,45164.0,55,Greed
110,2021-03-01,49595.5,38,Fear
109,2021-03-02,48424.2,78,Extreme Greed
108,2021-03-03,50395.1,78,Extreme Greed
107,2021-03-04,48428.0,84,Extreme Greed
106,2021-03-05,48792.5,77,Extreme Greed
105,2021-03-06,48855.6,77,Extreme Greed
104,2021-03-07,50982.3,76,Extreme Greed
103,2021-03-08,52311.0,81,Extreme Greed
102,2021-03-09,54879.0,81,Extreme Greed
101,2021-03-10,55851.9,68,Greed
100,2021-03-11,57799.5,73,Greed
99,2021-03-12,57265.1,70,Greed
98,2021-03-13,61195.3,74,Greed
97,2021-03-14,59113.7,78,Extreme Greed
96,2021-03-15,55791.3,76,Extreme Greed
95,2021-03-16,56889.7,71,Greed
94,2021-03-17,58913.5,71,Greed
93,2021-03-18,57656.0,72,Greed
92,2021-03-19,58088.0,71,Greed
91,2021-03-20,58093.4,75,Greed
90,2021-03-21,57383.8,73,Greed
89,2021-03-22,54158.3,70,Greed
88,2021-03-23,54452.5,66,Greed
87,2021-03-24,52325.4,65,Greed
86,2021-03-25,51322.3,60,Greed
85,2021-03-26,55036.1,54,Neutral
84,2021-03-27,55862.9,65,Greed
83,2021-03-28,55765.2,74,Greed
82,2021-03-29,57616.2,72,Greed
81,2021-03-30,58771.3,72,Greed
80,2021-03-31,58763.7,76,Extreme Greed
79,2021-04-01,58718.3,74,Greed
78,2021-04-02,58977.3,74,Greed
77,2021-04-03,57059.9,73,Greed
76,2021-04-04,58199.9,74,Greed
75,2021-04-05,58993.4,71,Greed
74,2021-04-06,57996.3,75,Greed
73,2021-04-07,55948.7,72,Greed
72,2021-04-08,58077.4,73,Greed
71,2021-04-09,58118.7,70,Greed
70,2021-04-10,59748.4,70,Greed
69,2021-04-11,59978.7,76,Extreme Greed
68,2021-04-12,59863.8,74,Greed
67,2021-04-13,63540.9,74,Greed
66,2021-04-14,62980.4,75,Greed
65,2021-04-15,63216.0,79,Extreme Greed
64,2021-04-16,61379.7,78,Extreme Greed
63,2021-04-17,60041.9,76,Extreme Greed
62,2021-04-18,56207.1,79,Extreme Greed
61,2021-04-19,55646.1,74,Greed
60,2021-04-20,56483.2,73,Greed
59,2021-04-21,53820.2,73,Greed
58,2021-04-22,51729.5,65,Greed
57,2021-04-23,51143.6,55,Greed
56,2021-04-24,50088.9,37,Fear
55,2021-04-25,48963.6,31,Fear
54,2021-04-26,54020.5,27,Fear
53,2021-04-27,55036.5,50,Neutral
52,2021-04-28,54841.4,59,Greed
51,2021-04-29,53560.8,52,Neutral
50,2021-04-30,57720.3,51,Neutral
49,2021-05-01,57807.1,68,Greed
48,2021-05-02,56603.8,66,Greed
47,2021-05-03,57169.8,61,Greed
46,2021-05-04,53741.5,68,Greed
45,2021-05-05,57441.3,48,Neutral
44,2021-05-06,56405.4,65,Greed
43,2021-05-07,57337.2,64,Greed
42,2021-05-08,58840.1,67,Greed
41,2021-05-09,58238.3,73,Greed
40,2021-05-10,55848.9,72,Greed
39,2021-05-11,56695.7,61,Greed
38,2021-05-12,49384.2,68,Neutral
37,2021-05-13,49704.6,31,Fear
36,2021-05-14,49839.8,26,Fear
35,2021-05-15,46708.8,27,Fear
34,2021-05-16,46426.4,20,Extreme Fear
33,2021-05-17,43541.3,27,Fear
32,2021-05-18,42897.3,21,Extreme Fear
31,2021-05-19,36720.5,23,Extreme Fear
30,2021-05-20,40717.2,11,Extreme Fear
29,2021-05-21,37297.4,19,Extreme Fear
28,2021-05-22,37448.3,12,Extreme Fear
27,2021-05-23,34679.7,14,Extreme Fear
26,2021-05-24,38750.6,10,Extreme Fear
25,2021-05-25,38378.3,22,Extreme Fear
24,2021-05-26,39249.2,22,Extreme Fear
23,2021-05-27,38417.3,27,Fear
22,2021-05-28,35662.5,21,Extreme Fear
21,2021-05-29,34584.6,18,Extreme Fear
20,2021-05-30,35652.8,10,Extreme Fear
19,2021-05-31,37298.6,18,Extreme Fear
18,2021-06-01,36687.6,20,Extreme Fear
17,2021-06-02,37555.8,23,Extreme Fear
16,2021-06-03,39187.3,24,Extreme Fear
15,2021-06-04,36851.3,27,Fear
14,2021-06-05,35520.0,24,Extreme Fear
13,2021-06-06,35815.4,17,Extreme Fear
12,2021-06-07,33578.0,15,Extreme Fear
11,2021-06-08,33382.9,13,Extreme Fear
10,2021-06-09,37332.2,14,Extreme Fear
9,2021-06-10,36649.4,21,Extreme Fear
8,2021-06-11,37314.6,21,Extreme Fear
7,2021-06-12,35467.5,28,Fear
6,2021-06-13,39022.9,23,Extreme Fear
5,2021-06-14,40529.4,28,Fear
4,2021-06-15,40156.1,38,Fear
3,2021-06-16,38336.0,33,Fear
2,2021-06-17,38052.0,26,Fear
1,2021-06-18,35749.4,25,Extreme Fear
0,2021-06-19,35513.4,23,Extreme Fear
